"Date","Year","Month","MonthName","Decade","Station","StationName","Network","City","County","Lat","Lon","Elev_m","Tmax_C","Tmin_C","Tmed_C","Tdew_C","RHmax","RHmin","RHmed","Precip_mm","THImax","THImin","THImed","THImax_cat","THI75","THI79","THI84","THImax_rh","THImin_rh","THImed_rh","Imputed","ImputedVar"
2006-02-11,2006,2,"Feb","2000s","BAHA","Butner Beef Cattle Laboratory (BAHA)","ECONET","Bahama","Durham County",36.17493,-78.80865,142.95,5.24,0.51,2.88,-2.45,85.84,71.39,78.61,10.23,45.56,40.83,43.19,"Normal",0,0,0,44.05,34.89,39.47,TRUE,"Tmax_C, Tmin_C, Tdew_C, RHmin, RHmax, Precip_mm"
2006-02-12,2006,2,"Feb","2000s","BAHA","Butner Beef Cattle Laboratory (BAHA)","ECONET","Bahama","Durham County",36.17493,-78.80865,142.95,5.75,-2.62,1.56,-7.02,80.87,41.2,61.03,0,44.42,36.05,40.24,"Normal",0,0,0,47.44,30.54,38.99,TRUE,"Tmax_C, Tmin_C, Tdew_C, RHmin, RHmax, Precip_mm"
2006-02-13,2006,2,"Feb","2000s","BAHA","Butner Beef Cattle Laboratory (BAHA)","ECONET","Bahama","Durham County",36.17493,-78.80865,142.95,5.42,-4.37,0.53,-9.53,77.19,31.4,54.3,0,43.19,33.4,38.29,"Normal",0,0,0,47.91,28.42,38.17,TRUE,"Tmax_C, Tmin_C, Tdew_C, RHmin, RHmax, Precip_mm"
2006-02-14,2006,2,"Feb","2000s","BAHA","Butner Beef Cattle Laboratory (BAHA)","ECONET","Bahama","Durham County",36.17493,-78.80865,142.95,12.52,-3.92,4.3,-6,83.88,24.18,54.03,0,51.56,35.11,43.34,"Normal",0,0,0,55.96,27.89,41.93,TRUE,"Tmax_C, Tmin_C, Tdew_C, RHmin, RHmax, Precip_mm"
2006-02-15,2006,2,"Feb","2000s","BAHA","Butner Beef Cattle Laboratory (BAHA)","ECONET","Bahama","Durham County",36.17493,-78.80865,142.95,16.51,0.19,8.35,-1.8,86.73,27.7,57.22,0,57.07,40.74,48.9,"Normal",0,0,0,60.2,34.23,47.21,TRUE,"Tmax_C, Tmin_C, Tdew_C, RHmin, RHmax, Precip_mm"
2006-02-16,2006,2,"Feb","2000s","BAHA","Butner Beef Cattle Laboratory (BAHA)","ECONET","Bahama","Durham County",36.17493,-78.80865,142.95,19.46,1.71,10.59,1.24,89.09,30.99,60.04,0,61.11,43.36,52.24,"Normal",0,0,0,63.54,36.47,50,TRUE,"Tmax_C, Tmin_C, Tdew_C, RHmin, RHmax, Precip_mm"
2006-02-17,2006,2,"Feb","2000s","BAHA","Butner Beef Cattle Laboratory (BAHA)","ECONET","Bahama","Durham County",36.17493,-78.80865,142.95,20.76,4.98,12.87,2.91,88.81,29.92,59.36,0,63.01,47.22,55.12,"Normal",0,0,0,64.91,42.01,53.46,TRUE,"Tmax_C, Tmin_C, Tdew_C, RHmin, RHmax, Precip_mm"
2006-02-18,2006,2,"Feb","2000s","BAHA","Butner Beef Cattle Laboratory (BAHA)","ECONET","Bahama","Durham County",36.17493,-78.80865,142.95,8.04,-2.4,2.82,-5.55,82.84,39.8,61.32,0.76,47.24,36.8,42.02,"Normal",0,0,0,50.3,30.56,40.43,TRUE,"Tmax_C, Tmin_C, Tdew_C, RHmin, RHmax, Precip_mm"
2006-02-19,2006,2,"Feb","2000s","BAHA","Butner Beef Cattle Laboratory (BAHA)","ECONET","Bahama","Durham County",36.17493,-78.80865,142.95,3.22,-6.9,-1.84,-14.09,69.4,23.48,46.44,0,39.35,29.23,34.29,"Normal",0,0,0,46.35,26.1,36.22,TRUE,"Tmax_C, Tmin_C, Tdew_C, RHmin, RHmax, Precip_mm"
2006-02-20,2006,2,"Feb","2000s","BAHA","Butner Beef Cattle Laboratory (BAHA)","ECONET","Bahama","Durham County",36.17493,-78.80865,142.95,7.01,-2.36,2.32,-5.63,82.59,44.34,63.46,0.25,46.18,36.81,41.5,"Normal",0,0,0,48.73,30.67,39.7,TRUE,"Tmax_C, Tmin_C, Tdew_C, RHmin, RHmax, Precip_mm"
